ISIN,Security Name,Security RIC,Security Ticker,SEDOL,Ranking,Country,Country of Risk,Amount Outstanding t,Amount Outstanding t-1,Maturity,Coupon,Coupon Currency,Currency,InterestCalculation,Coupon Frequency,Dirty Price t,Dirty Price t-1,Price t,Price t-1,FX t,FX t-1,Accrued Interest t,AccruedInterest t-1,Capitalization t,Capitalization t-1,Coupon Adjustment t,Coupon Adjustment t-1,Sink Factor t,Sink Factor t-1,Coupon Payment t,Sink Payment t,Extraordinary Payment t,Cash Coupon t,Cash Sink t,Cash CA t,Cash Coupon t-1,Cash Sink t-1,Cash CA t-1,Base MV,MV t,MV t-1,Paid Cash t,Paid Cash t-1,Month to Date Return,Daily TR,Weight t,Weight t-1,Weight t ex Cash,Weight t-1 ex Cash,Weighting Cap Factor,Weighted Return
BRSTNCLTN7O0,LETRA TESOURO NACIONAL,.BRSTNCLTN7O0,,BF2SXF2,B,BR,BR,70165253000,70165253000,7/1/2022,0,BRL,BRL,ACT/ACT,1,,,,,0.180536374,0.176819026,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.001625322,0.018264723,0.002613097,0.002567937,0.002602592,0.002558004,1.040525612,4.69027E-05
BRSTNCLTN7Q5,LETRA TESOURO NACIONAL,.BRSTNCLTN7Q5,,,BBB,BR,BR,1.19738E+11,1.19738E+11,7/1/2023,0,BRL,BRL,ISMA-30/360,1,,,,,0.180536374,0.176819026,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.000615446,0.020099946,0.004102067,0.004023922,0.004085575,0.004008357,1.040525612,8.08806E-05
BRSTNCLTN7S1,LETRA TESOURO NACIONAL,.BRSTNCLTN7S1,,BL1GQH2,CCC,BR,BR,2.3545E+11,2.3545E+11,1/1/2024,0,BRL,BRL,BUS DAYS/252,1,,,,,0.180536374,0.176819026,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.001728869,0.021574109,0.007734841,0.007576543,0.007703745,0.007547235,1.040525612,0.000163457
BRSTNCLTN7T9,LETRA TESOURO NACIONAL,.BRSTNCLTN7T9,,,CCC,BR,BR,77372651000,77372651000,4/1/2022,0,BRL,BRL,30/360,1,,,,,0.180536374,0.176819026,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.00068287,0.01840013,0.002935164,0.002884054,0.002923363,0.002872898,1.040525612,5.3067E-05
BRSTNCNTF147,BRAZIL NOTAS DO TESOURO NACIONAL SERIE F,.BRSTNCNTF147,,B4Q5YM6,B,BR,BR,1.35647E+11,1.35647E+11,1/1/2023,10,BRL,BRL,BUS DAYS/252,2,,,,,0.180536374,0.176819026,2.023781509,1.984099519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.000268974,0.019361948,0.00584698,0.005739748,0.005823474,0.005717545,1.040525612,0.000111133
BRSTNCNTF170,NOTA DO TESOURO NACIONAL,.BRSTNCNTF170,,BJ0X0K1,CCC,BR,BR,1.1303E+11,1.1303E+11,1/1/2025,10,BRL,BRL,BUS DAYS/252,2,,,,,0.180536374,0.176819026,2.023781509,1.984099519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.001701029,0.022238129,0.004940296,0.004836047,0.004920435,0.00481734,1.040525612,0.000107545
BRSTNCNTF1P8,NOTA DO TESOURO NACIONAL,.BRSTNCNTF1P8,,BYYCKC1,B,BR,BR,1.07308E+11,1.07308E+11,1/1/2027,10,BRL,BRL,BUS DAYS/252,2,,,,,0.180536374,0.176819026,2.023781509,1.984099519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.00451361,0.024762409,0.004738453,0.004627037,0.004719403,0.004609138,1.040525612,0.000114577
BRSTNCNTF1Q6,NOTA DO TESOURO NACIONAL,.BRSTNCNTF1Q6,,BF4LY56,CCC,BR,BR,61501690000,61501690000,1/1/2029,10,BRL,BRL,BUS DAYS/252,2,,,,,0.180536374,0.176819026,2.023781509,1.984099519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.010601443,0.027985999,0.002739986,0.00266717,0.00272897,0.002656853,1.040525612,7.46434E-05
BRSTNCNTF204,NOTA DO TESOURO NACIONAL,.BRSTNCNTF204,,,CCC,BR,BR,23340008000,23340008000,1/1/2031,10,BRL,BRL,BUS DAYS/252,2,,,,,0.180536374,0.176819026,2.023781509,1.984099519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.019925834,0.032494527,0.001046683,0.001014418,0.001042475,0.001010494,1.040525612,3.2963E-05
CL0001974774,BONOS DE LA TESORERIA DE LA REPUBLICA E,.CL0001974774,,BFZD3X2,B,CL,CL,3.24757E+12,3.24757E+12,1/1/2043,6,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,1.249315068,1.232876712,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.013954403,0.010188395,0.001255712,0.001243877,0.001250664,0.001239065,1.040525612,1.26731E-05
CL0002172501,BONOS TESORERIA PESOS,.CL0002172501,,BWWC438,BBB,CL,CL,3.6294E+12,3.6294E+12,3/1/2026,4.5,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.209589041,0.197260274,0,0,0,0,1,1,0,0,0,116654658,0,0,116654658,0,0,,,,116654658,116654658,-0.016776759,0.012672802,0.001258778,0.001243544,0.001253717,0.001238733,1.040525612,1.57592E-05
CL0002187822,BONOS TESORERIA PESOS,.CL0002187822,,BZ8VHW0,B,CL,CL,4.1202E+12,4.1202E+12,3/1/2035,5,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.232876712,0.219178082,0,0,0,0,1,1,0,0,0,147144162.7,0,0,147144162.7,0,0,,,,147144162.7,147144162.7,-0.030144258,0.007931124,0.001428857,0.001418313,0.001423113,0.001412826,1.040525612,1.12488E-05
CL0002454230,BONOS TESORERIA PESOS,.CL0002454230,,BD04N92,BB,CL,CL,2.49516E+12,2.49516E+12,3/1/2023,4,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.18630137,0.175342466,0,0,0,0,1,1,0,0,0,71287457.71,0,0,71287457.71,0,0,,,,71287457.71,71287457.71,-0.01339556,0.014706539,0.000820335,0.000808765,0.000817037,0.000805636,1.040525612,1.18941E-05
CL0002454248,BONOS TESORERIA PESOS,.CL0002454248,,BG7P9X5,BB,CL,CL,3.06578E+12,3.06578E+12,9/1/2030,4.7,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.21890411,0.206027397,0,0,0,0,1,1,0,0,0,102918531.5,0,0,102918531.5,0,0,,,,102918531.5,102918531.5,-0.029046706,0.008885819,0.001060841,0.001052006,0.001056576,0.001047936,1.040525612,9.34793E-06
CL0002502871,BONOS TESORERIA PESOS,.CL0002502871,,,BB,CL,CL,1.051E+12,1.051E+12,7/15/2050,5.1,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.86630137,0.852328767,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.004482252,0.009121501,0.00036134,0.000358313,0.000359887,0.000356927,1.040525612,3.26835E-06
CL0002599166,BONOS TESORERIA PESOS,.CL0002599166,,,CCC,CL,CL,1.9076E+12,1.9076E+12,3/1/2025,2.5,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,0.116438356,0.109589041,0,0,0,0,1,1,0,0,0,34062934.42,0,0,34062934.42,0,0,,,,34062934.42,34062934.42,-0.00752795,0.013172987,0.000613569,0.000605902,0.000611103,0.000603558,1.040525612,7.98153E-06
CL0002642784,BONOS TESORERIA PESOS,.CL0002642784,,BMFKGR7,A,CL,CL,1.04E+12,1.04E+12,10/1/2028,2.3,CLP,CLP,ACT/365,2,,,,,0.001390057,0.001369282,1.058630137,1.052328767,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.007950176,0.010406583,0.00031208,0.000309072,0.000310825,0.000307876,1.040525612,3.21638E-06
CND100042M14,BANK OF CHINA/HONG KONG,.CND100042M14,,BMH5D46,CCC,CN,CN,500000000,500000000,2/4/2024,0.75,USD,USD,ISMA-30/360,2,,,,,1,1,0.091666667,0.089583333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.000692128,0.000326096,3.24511E-05,3.24621E-05,3.23206E-05,3.23366E-05,0.306275394,1.05858E-08
COL17CT02385,COLOMBIAN TES,.COL17CT02385,,B5KRFR7,AA,CO,CO,2.57792E+13,2.57792E+13,7/24/2024,10,COP,COP,ACT/365,1,,,,,0.000279886,0.000279492,6.4932,6.4658,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.007519709,-0.000708159,0.001997465,0.002000214,0.001989435,0.001992477,1.040525612,-1.41647E-06
COL17CT02625,COLOMBIAN TES,.COL17CT02625,,B5V9HQ5,BBB,CO,CO,2.8779E+13,2.8779E+13,8/26/2026,7.5,COP,COP,ACT/365,1,,,,,0.000279886,0.000279492,4.1918,4.1712,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,-0.005707761,-0.002342877,0.002043056,0.00204922,0.002034842,0.002041293,1.040525612,-4.80107E-06
